DATE,RWLBACQ027S_GDP_GDPSDCA027N,HNOLACQ027S_NNBLACQ027S_NCBLACQ027S_FBLCABQ027S_GDP,FGLBACQ027S_SLGLACQ027S_GDP
1979-01-01,1.75307501304796083100,0.83420359386277209000,-2.5872690915336457
1980-01-01,1.24410787284607174900,2.7991377199906835,-4.0432455928367553
1981-01-01,1.04310320299123062400,2.5018309321715148,-3.5450120886346566
1982-01-01,0.30417586873933517200,5.7214281671609537,-6.0256264655435447
1983-01-01,2.45759089101058836400,4.2088116065977873,-6.6664162564134950
1984-01-01,3.19010806877527173200,2.3608621329329649,-5.5509330510544099
1985-01-01,3.81911142490730253300,1.8978767016814203,-5.7169362710894875
1986-01-01,4.79356695105993767000,1.1123272445987751,-5.9058286882189783
1987-01-01,4.01190678170102104100,0.87724722868935035000,-4.8891437121878969
1988-01-01,2.20352556451542059700,1.9571223797550931,-4.1606383957950042
1989-01-01,2.78075936003383449600,1.2196052541668517,-4.0003291631359622
1990-01-01,2.91152595748769797500,2.0599953598307068,-4.9715338945752530
1991-01-01,1.39336552573981781900,4.3278809063645425,-5.7212586111277220
1992-01-01,2.38023329273848946800,4.3861180433850157,-6.7663590044502751
1993-01-01,3.37873111383390547700,2.5483306732748580,-5.9270800125128334
1994-01-01,3.46889729734996250000,1.07158248534955604000,-4.5404283228628576
1995-01-01,2.56594154579091715600,1.6110116441321683,-4.1769695517166352
1996-01-01,2.11674622645199175900,0.90874388212961114000,-3.0254870118860774
1997-01-01,1.65625625724820687500,-0.02863870550486283821,-1.6275854913158503
1998-01-01,1.59522700268655437600,-1.1829545157690626,-0.41226696986894279000
1999-01-01,2.63281472069029519000,-2.6033645141235092,-0.02944501481595892287
2000-01-01,2.97097839992044748000,-3.7623850305878757,0.79139199987046868000
2001-01-01,2.46507164680450004700,-1.05022317871574530000,-1.4148484680887548
2002-01-01,3.46088400560210835000,1.3246430109784801,-4.7855361603420754
2003-01-01,4.40025036118639714100,1.5723523821262081,-5.9725940159731694
2004-01-01,5.04058741595345124000,0.49027200351014793000,-5.5308532788334670
2005-01-01,5.28777091822070369800,-1.02047406858072369000,-4.2672930142950210
2006-01-01,4.24872502725194755800,-1.1375294805665510,-3.1111955466853966
2007-01-01,5.08952862050480841300,-1.3866728148953017,-3.7028419665594579
2008-01-01,5.33984249817081604500,1.8304770423395339,-7.1703144429238533
2009-01-01,3.16819425933369126100,9.6151359278617988,-12.7833388383536292
2010-01-01,3.30731243461535485600,8.8255296873303268,-12.1328437894959276
2011-01-01,2.86201003896923366700,7.8616363076230884,-10.7236238278109748
2012-01-01,1.59541973409933492500,7.3384019754637080,-8.9338217095630429
2013-01-01,1.48345527414736282600,3.9577564304192045,-5.4412072362515234
2014-01-01,0.88168434346187055400,3.9757964773718055,-4.8574865280271425
2015-01-01,1.07071779637594678800,3.2165978527217009,-4.2873101604115175
2016-01-01,1.67958026296174512100,3.2990138617166623,-4.9785901155244398
